Å,Ao
emu,[emu]
electrons,{electron}
electron,{electron}
eg/L,eq/L
dwt,[pwt_tr]
dry_qt,[qt_us]{dry}
dry_pt,[pt_us]{dry}
dry_gal,[gal_us]{dry}
dry weight %,%{drymass}
dr,[dr_av]
dpm,[dpm]
dm2/s2,REM
degR,[degR]
degF,[degF]
degC,Cel
dba,dB[SPL]
days,d
day,d
d2Theta,deg
cup,[cup_us]
cts,n{photon}
crmcd,m{crmcd}
cps,[cps]
cpm,[cpm]
counts/min,[cpm]
count/min,[cpm]
code,{code}
cmil,[cml_i]
cm_h20/(s.m),cm[H2O]/(s.m)
cm_h20.s/L,cm[H2O].s/L
cm_h20,cm[H2O]
cm^2,cm2
ch,[ch_us]
cfu/mL,{cfu}/mL
cells/uL,{Cells}/uL
cc/dL,mL/dL
bu,[bu_us]
btu,[Btu]
breaths/min,{breaths}/min
bps,bit/s
bpm,{beat}/min
bp,[bp]
bbl,[bbl_us]
b2k,{b2k}
atoms,n{atoms}
atm,{atmosphere}
armcd,m{armcd}
arcSec,''
arcMin,'
arbitrary units,[arb'U]
arbitrary light units,[arb'U]
amcd,m{amcd}
ambsf,m{ambsf}
ac,[acr_us]
Volume %,%{vol}
U/g Hgb,U/g{Hgb}
U/g Cre,U/g{Cre}
Ton,[ston_av]
Sperm/mL,{Spermatozoa}/mL
Relative %,%{Relative}
RBC/mm^3,{rbc}/uL
Osm/kg,osm/kg
Osm/L,osm/L
Nm/ct,[car_m]
Mo,mo
Metric Ton,t
MT,{MT}
"M/uL, x10^6/mm^3",10*6/uL
L/hr,L/h
L/(8.hr),L/(8.h)
L s^2/s,L.s2/s
KPa,kPa
KHz,kHz
"K/uL, x10^3/mm^3",10*3/uL
K/Watt,K/W
IgM Phospholipid U/mL,U{IgMPhospholipid}/mL
IgG Phospholipid U/mL,U{IgGPhospholipid}/mL
IgA Phospholipid U/mL,U{IgAPhospholipid}/mL
IU/mL,[iU]/mL
IU/kg,[iU]/kg
IU/g Hgb,[iU]/g{Hgb}
IU/g,[iU]/g
IU/dL,[iU]/dL
IU/L,[iU]/L
IU,[iU]
HP,[HP]
HC,{hydrocarbon}
H2O,{H2O}
Gram Meter/Heartbeat/m^2,g.m/({hb}.m2)
Gram Meter/Heartbeat,g.m/{hb}
Gram Meter,g.m
Gi,Gb
French Unit,[Ch]
FTU,{FTU}
FMS,{FMS}
F,[degF]
Elisa U/mL,{Elisa_U}/mL
EU/dL,{Ehrlich_U}/dL
EU/100 g,[EU]/(100.g)
EU,[ETU]
DegC,Cel
Deg,deg
DU,[DU]
Cup,[cup_us]
Copies/mL,{Copies}/mL
Chl a,{chlorophyll_a}
Chilean Pesos,{CLP}
Cal,cal
CH50 U/mL,U{ComplementCh50}/mL
CFU,[CFU]
C,Cel
Bytes,By
Byte,By
Btu,[Btu]
Bf,[bf_i]
BPM,{beats}/min
BP,{BP}
BCE/umol Cre,eq{BoneCollagen}/umol{Cre}
BCE/mmol Cre,eq{BoneCollagen}/mmol{Cre}
Absorbance unit,[AU]
API units,[API]
API,[API]
AHG eq/mL,eq{AHG}/mL
AD,{AD}
10^9/uL,10*9/uL
10^9/mL,10*9/mL
10^9/L,10*9/L
10^6/uL,10*6/uL
10^6/mL,10*6/mL
10^6/L,10*6/L
10^6 eq/mL,10*6.eq/mL
10^6  IU,10*6.[iU]
10^3/uL,10*3/uL
10^3/mL,10*3/mL
10^3/L,10*3/L
10^3 copies/mL,10*3{Copies}/mL
10^12/L,10*12/L
10.un.s/cm5,dyn.s/cm5
10.un.s/(cm5.m2),dyn.s/(cm5.m2)
10.L,10.L/(min.m2)
10*3(rbc),10*3{rbc}
/mm^3,/uL
/m^2,/m2
/kg Body Weight,/kg{body`wt}
/iu,/[iU]
/g Wet Tissue,/g{wet`tis}
/g Total Protein,/g{tot`prot}
/g Total Nitrogen,/g{tot`nit}
/g Hgb,/g{HGB}
/g Cre,/g{creat}
/Total,/{tot}
/Entity,/{Entity}
/10^9,/10*9
/10^6,/10*6
/10^12 RBCs,/10*12{rbc}
/10^12,/10*12
/10^10,/10*10
/100 WBCs,/100{WBC}
/100 Sperm,/100{Spermatozoa}
/(tot),/{tot}
/(hpf),[HPF]
/(arb_u),/[arb'U]
(th_u),[todd'U]
(ppth),[ppth]
(ppt),[pptr]
(ppm),[ppm]
(ppb),[ppb]
(ph),pH
(od),{od}
(mclg_u),[mclg'U]
(knk_u),[knk'U]
(kcal)/hr,kcal/h
(kcal)/d,kcal/d
(kcal)/(8.hr),kcal/(8.h)
(kcal),kcal
(ka_u),[ka'U]
(eq),{eq}
(drop),[drp]
(cfu),{cfu}
(cal),cal
(bsa),{bsa}
(bdsk_u),[bdsk'U]
(arb_u),[arb'U]
(\\(eq\\)),{eq}
(K2)m/W,m2.K/W
% per 100 WBC,%/100{WBC}
% of Total,%{Total}
% WBCs,%{OfWBCs}
% Uptake,%{Uptake}
% Total Protein,%{TotalProtein}
% Sperm Motility,%{SpermMotility}
% Positive,%{Positive}
% Oxygen,%{Oxygen}
% Normal Pooled Plasma,%{NormalPooledPlasma}
% Normal,%{Normal}
% Lymphs,%{OfLymphocytes}
% Inhibition,%{Inhibition}
% Hgb SAT,%{HemoglobinSaturation}
% Hgb A1C,%{HemoglobinA1C}
% Hgb,%{Hemoglobin}
% Hemolysis,%{Hemolysis}
% Fetal RBC,%{FetalErythrocytes}
% Excretion,%{Excretion}
% EOS Seen,%{EosSeen}
% CO Hgb,%{Carboxyhemoglobin}
% Bound,%{Bound}
% Blockade,%{Blockade}
% Binding,%{Binding}
% Basal Activity,%{BasalActivity}
% Bacteria,%{ofBacteria}
% Activity,%{Activity}
% Abnormal,%{Abnormal}
% 0-3 h,%{0to3Hours}
#,n
